# Temperature PotentialEnergy Volume Pressure
# K eV/atom Å^3 Pa
1979.902500 -4.598637 39198.075000 -0.013553
1960.045000 -4.602432 39159.035000 -0.055985
1939.991000 -4.606328 39119.390000 0.070008
1919.984000 -4.610199 39080.110000 -0.112558
1899.942000 -4.614111 39040.630000 -0.050424
1880.088500 -4.617962 39002.065000 -0.036975
1860.042000 -4.621925 38963.325000 0.040376
1840.001000 -4.625828 38924.700000 0.017809
1819.982500 -4.629804 38886.325000 0.034719
1799.949500 -4.633762 38847.960000 -0.064306
1780.047000 -4.637739 38810.075000 0.005139
1759.980000 -4.641728 38772.365000 0.005339
1740.030500 -4.645700 38734.735000 0.054772
1719.973000 -4.649771 38696.730000 0.014262
1700.097500 -4.653759 38659.980000 0.102762
1679.983500 -4.657835 38622.850000 -0.019404
1660.016500 -4.661870 38585.935000 0.032585
1639.924500 -4.665975 38548.955000 -0.026596
1620.020000 -4.670074 38512.650000 -0.065276
1599.996500 -4.674192 38476.015000 0.067992
1579.925000 -4.678356 38439.635000 0.057095
1560.030500 -4.682471 38403.840000 -0.007964
1539.971500 -4.686648 38367.895000 -0.024261
1519.984500 -4.690858 38332.450000 0.051747
1499.999000 -4.695062 38296.745000 0.012965
1479.979000 -4.699307 38261.410000 0.028142
1459.972000 -4.703523 38226.385000 -0.096017
1440.037000 -4.707787 38191.765000 0.061179
1420.064000 -4.712031 38156.810000 0.008930
1399.978000 -4.716385 38122.445000 0.085110
1379.958500 -4.720693 38087.585000 -0.000486
1360.004500 -4.725043 38053.475000 0.004082
1339.971500 -4.729429 38019.595000 -0.033393
1320.046500 -4.733810 37985.490000 0.095799
1300.017500 -4.738213 37951.905000 -0.002629
1280.042500 -4.742637 37918.530000 -0.009553
1260.014500 -4.747108 37885.080000 0.073079
1239.988500 -4.751601 37852.085000 0.030787
1220.043000 -4.756116 37818.990000 0.002169
1199.969000 -4.760688 37785.930000 0.011173
1179.964000 -4.765232 37753.635000 0.041339
1159.960000 -4.769850 37720.800000 0.053350
1139.940500 -4.774426 37688.680000 -0.013241
1120.020500 -4.779091 37656.585000 -0.031695
1100.054000 -4.783728 37625.070000 0.020247
1079.968500 -4.788478 37592.890000 -0.002880
1059.990500 -4.793202 37561.435000 -0.029225
1039.973500 -4.797962 37529.790000 0.066379
1019.983000 -4.802796 37498.925000 -0.004785
1000.010550 -4.807643 37468.060000 -0.047449
980.021850 -4.812473 37436.960000 -0.009852
959.962150 -4.817480 37406.275000 0.001713
940.033300 -4.822289 37375.485000 -0.002875
920.009650 -4.827387 37344.680000 -0.007954
900.024750 -4.832534 37313.850000 -0.016928
880.030850 -4.837619 37283.045000 0.000316
859.974800 -4.842687 37253.735000 0.017520
840.034900 -4.848210 37222.935000 -0.001131
819.984700 -4.852796 37194.915000 -0.021531
800.018050 -4.857811 37168.335000 -0.021428
779.995450 -4.863310 37133.980000 -0.003203
760.079600 -4.867843 37108.665000 0.048574
740.025300 -4.872509 37079.965000 -0.010847
719.986600 -4.876157 37058.185000 -0.002096
699.947000 -4.880021 37033.815000 0.003110
680.004650 -4.883660 37008.355000 0.012404
659.995550 -4.887162 36987.050000 -0.003733
640.022550 -4.890573 36966.835000 -0.004645
619.988750 -4.893824 36948.945000 -0.030107
600.015100 -4.896917 36926.585000 -0.031849
580.017750 -4.899987 36906.420000 0.003866
560.002550 -4.902960 36886.335000 -0.002659
539.997500 -4.905894 36866.440000 -0.006693
519.986050 -4.908853 36845.070000 -0.003242
500.034500 -4.911764 36825.375000 0.025635
479.990300 -4.914680 36806.315000 0.024946
460.037800 -4.917522 36787.390000 -0.004602
439.997100 -4.920359 36768.670000 0.019282
419.987500 -4.923210 36748.885000 0.006311
399.987450 -4.926039 36730.230000 0.008518
379.997050 -4.928861 36711.370000 -0.012582
359.996750 -4.931665 36692.500000 -0.011661
340.012300 -4.934449 36673.895000 -0.001293
320.021100 -4.937227 36655.540000 0.004971
300.008100 -4.939997 36637.405000 -0.000941
280.003900 -4.942756 36619.275000 0.011033
260.004300 -4.945509 36601.595000 -0.013003
239.993200 -4.948255 36583.735000 0.003013
220.003400 -4.950992 36566.310000 -0.011308
199.987950 -4.953719 36548.555000 0.006259
180.003900 -4.956434 36531.560000 0.000652
